Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2010,26000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2010,26000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2011,26000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2011,26000000
Humanitarian Assistance,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2011,25923000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2008,24798000
Second Tranche Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Annual Budget Activities - Europe Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2014,23200000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2008,22375000
ANNUAL PROGRAM,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2003,22278000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2009,22204000
Annual programs,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2005,21809900
U.S. Department of State: Nonproliferation Assistance Programs - Nonproliferation and Disarmament Fund,Middle East Region,Department of State,"Conflict, Peace, and Security","Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2010,21602359
Second Tranche Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Europe Annual Budget Activities - Europe Sub-Region,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2012,21600000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2007,21000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2007,21000000
FY 15 OES Voluntary Contributions ''The Tuna Treaty'',East Asia and Oceania Region,Department of State,General Environmental Protection,Economic Support Fund,Disbursements,2015,21000000
FY 15 OES Voluntary Contributions ''The Tuna Treaty'',East Asia and Oceania Region,Department of State,General Environmental Protection,Economic Support Fund,Obligations,2015,21000000
Annual Programs,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2005,20840000
Second Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Europe Regional Annual Budget Activities,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2013,20770000
International Narcotics & Law Enforcement: Country Program,West Africa Region,Department of State,Government and Civil Society,International Narcotics Control and Law Enforcement,Obligations,2013,20173910
World Food Programme El Nino response in Southern Africa,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2016,20000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO) - Egyptian-Israeli Peace Treaty,Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2005,19956000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO) - Egyptian-Israeli Peace Treaty,Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2005,19956000
Initial Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Europe Annual Budget Activites-Europe Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2016,19700000
Basic Education,West Africa Region,U.S. Agency for International Development,Basic Education,"Millennium Challenge Corporation, Expenses",Obligations,2009,19600000
"Democracy, Human Rights and Labor Program - Unspecified Project",East Asia and Oceania Region,Department of State,Government and Civil Society,"Department of State, Democracy Fund",Obligations,2012,19288427
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2006,19000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2006,19000000
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2016,18467063
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2016,18467063
EMERGENCY APPEALS,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2011,18400000
EMERGENCY APPEAL,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,17900000
Regional Refugee and Migrant Response Plan for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2016,17500000
Southern African Enterprise Fund,Southern Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Assistance",Disbursements,2002,17442036
World Food Programme El Nino response in Southern Africa,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2017,16582135
Humanitarian Assistance - Ebola Response Activities,West Africa Region,Department of Defense,Basic Health,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2017,16541000
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2001,16387244
Emergency appeals,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2005,16300000
Annual Programs,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2007,16100000
Humanitarian Assistance,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2005,15978000
"Democracy, Human Rights and Labor Program - Unspecified Project",East Asia and Oceania Region,Department of State,Government and Civil Society,"Department of State, Democracy Fund",Obligations,2016,15948509
Initial Contribution Towards UNHCR's Europe Annual Budget Activities -- Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2009,15460000
FFP/Emergency Transport - 2,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Obligations,2004,15377100
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2016,15350000
Voluntary Contributions,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2011,15236533
Initial Contribution Towards UNHCR's Europe Annual Budget Activities -- Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2010,15190190
International Narcotics & Law Enforcement: Country Program,West Africa Region,Department of State,Government and Civil Society,International Narcotics Control and Law Enforcement,Obligations,2014,15166134
Cooperative Threat Reduction Program: Cooperative Biological Engagement [non-ODA],Europe Region,Department of Defense,Other Multisector,"Department of Defense, Cooperative Threat Reduction Account",Disbursements,2016,15124000
"DOD - Foreign Military Financing (FMF) Program, Payment Waived",Europe Region,Department of Defense,"Conflict, Peace, and Security",Foreign Military Financing Program,Obligations,2015,15000000
"DOD - Foreign Military Financing (FMF) Program, Payment Waived",Europe Region,Department of Defense,"Conflict, Peace, and Security",Foreign Military Financing Program,Disbursements,2015,15000000
"Democracy, Human Rights and Labor Program - Unspecified Project",East Asia and Oceania Region,Department of State,Government and Civil Society,"Department of State, Democracy Fund",Obligations,2014,14955114
Disaster Relief,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2006,14756000
Initial Contribution to ICRC for its 2009 Europe Emergency Appeal,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2009,14700000
ITSH Freight Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2005,14681000
ITSH Freight Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2005,14681000
International Narcotics & Law Enforcement: Overseas Contingency Operations,East Asia and Oceania Region,Department of State,Government and Civil Society,International Narcotics Control and Law Enforcement,Obligations,2014,14493671
Contribution to ICRC's 2011 Emergency Appeal for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2011,13360000
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2005,13324000
"Democracy, Human Rights and Labor Program - Unspecified Project",East Asia and Oceania Region,Department of State,Government and Civil Society,"Department of State, Democracy Fund",Obligations,2015,13289976
EMERGENCY APPEAL,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2004,12967340
Contribution to ICRC's 2010 Emergency Appeal for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2011,12900000
Contribution to ICRC's 2010 Emergency Appeal for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2010,12900000
Emergency Appeal,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2007,12800000
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2001,12574711
2012 Emergency Appeal,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2012,12500000
2012 Emergency Appeal For Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2012,12500000
Humanitarian Assistance,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2011,12361000
Voluntary Contributions,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2012,12326000
"Title II - World Vision Bill Emerson Humanitarian Trust (BEHT), Consortium for Southern Africa Food Security Emergency (C-SAFE)",Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Obligations,2003,12323953
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2004,12308000
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2007,12089600
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2007,12089600
ANNUAL PROGRAM,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2005,11957945
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2002,11798422
Resilience and Economic Growth in the Sahel - Accelerated Growth (REGIS-AG),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2015,11752232
Special Mediterranean Initiative June 2015  December 2016,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2016,11600000
United Nations High Commissioner for Refugees (UNHCR)'s Second Tranche Europe Annual Budget Activites-Europe Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2016,11600000
Agribusiness and Trade Promotion Program in West Africa (ATP),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2009,11500000
Market Linkages Initiatives (MLI),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, International Disaster Assistance",Obligations,2010,11496767
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2011,11220000
Initial Contribution Towards UNHCR's Europe Program Budget Activities - Eastern Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2010,11100000
Peace Through Development II (PDev II),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2015,11013110
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2002,10986529
ANNUAL PROGRAM,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2004,10925465
Peace Through Development II (PDev II),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2014,10917493
FFP/Emergency 202(E),Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Obligations,2003,10747461
Southern African Enterprise Fund,Southern Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Assistance",Disbursements,2008,10600390
Refugee Assistance Activities,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2002,10571958
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2002,10525700
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2002,10525700
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2016,10523748
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2016,10523748
West Africa Biodiversity and Climate Change (WA-BiCC),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2015,10474218
EMERGENCY APPEAL,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2003,10400000
International Narcotics & Law Enforcement: Country Program,East Asia and Oceania Region,Department of State,Government and Civil Society,International Narcotics Control and Law Enforcement,Obligations,2014,10334964
Peace Through Development II (PDev II),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2016,10225588
Second Contribution to ICRC's 2009 Emergency Appeal for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2009,10200000
"Section 202e Cost of USAID Title II Emergency Program for Protection, Assistance and Solutions",West Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2015,10099100
"Section 202e Cost of USAID Title II Emergency Program for Protection, Assistance and Solutions",West Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2015,10099100
"Democracy, Human Rights and Labor Program - Unspecified Project",Europe Region,Department of State,Government and Civil Society,Economic Support Fund,Obligations,2016,10032560
Humanitarian Assistance,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2005,10003000
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2014,10000000
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2010,10000000
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2012,10000000
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2010,10000000
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2013,10000000
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2016,9978066
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2016,9978066
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2011,9960000
"Department of State - Peacekeeping Operations: Partnership for Regional East Africa Counterterrorism (PREACT), formerly EARSI",Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2011,9960000
FY2007 USG Contribution to ICRC Emergency Appeal for Europe,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2007,9800000
EMERGENCY APPEAL,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2002,9600000
Annual Budget for North Africa,North Africa Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2008,9535000
Initial Contribution Towards UNHCR's Asia Program Budget Activities - South-East Asia & East Asia and the Pacific,East Asia and Oceania Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2010,9500000
Resilience and Economic Growth in the Sahel - Enhanced Resilience,West Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Obligations,2014,9500000
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2007,9287500
Commodity Cost of USAID Title II Food Aid for Other Emergency,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2007,9287500
2014 Emergency Appeal,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2015,9200000
International Committee of the Red Cross (ICRC) - 2nd Tranche Contribution (Europe Regional),Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2014,9200000
The United States has made an additional voluntary contribution of $35.9 million to the ICRC in support of its CY 2001 Emergency Appeals.,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2001,9200000
Southern Africa Energy Program,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2017,9106171
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2003,9022000
Emergency/Africa,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Obligations,2005,9000000
Emergency/Africa,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Commodity Credit Corporation Fund,Disbursements,2006,9000000
Combating Exploitive Child Labor through Education,Southern Africa Region,Department of Labor,Other Social Infrastructure and Services,"Department of Labor, Departmental Management, Salaries and Expenses",Disbursements,2004,9000000
Combating Exploitive Child Labor through Education,Southern Africa Region,Department of Labor,Other Social Infrastructure and Services,"Department of Labor, Departmental Management, Salaries and Expenses",Obligations,2004,9000000
Annual Budget,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2008,9000000
Peace Through Development II (PDev II),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2014,8906331
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2003,8848000
"DOD - Foreign Military Financing (FMF) Program, Payment Waived",East Asia and Oceania Region,Department of Defense,"Conflict, Peace, and Security",Foreign Military Financing Program,Disbursements,2015,8800000
"DOD - Foreign Military Financing (FMF) Program, Payment Waived",East Asia and Oceania Region,Department of Defense,"Conflict, Peace, and Security",Foreign Military Financing Program,Obligations,2015,8800000
ANNUAL PROGRAM,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2004,8797000
Competitiveness and Trade Expansion Program (COMPETE),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2009,8702822
Southern Africa Energy Program,Southern Africa Region,U.S. Agency for International Development,Energy,Economic Support Fund,Obligations,2017,8624526
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2003,8607100
Commodity Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2003,8607100
Competitiveness and Trade Expansion Program (COMPETE),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2010,8594624
Humanitarian Assistance,Europe Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2004,8542000
Ocean Freight of USAID Title II Food Aid for Office of Procurement - Transportation,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2002,8491200
Ocean Freight of USAID Title II Food Aid for Office of Procurement - Transportation,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2002,8491200
Annual Budget,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2009,8400610
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2016,8229871
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2016,8229871
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2016,8193114
Department of State - Peacekeeping Operations: Support,Eastern Africa Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2016,8193114
Europe Regional - International Committee of the Red Cross (ICRC) First Tranche,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2016,8050000
FY2016 Second Tranche Contribution to International Committee of the Red Cross (ICRC) 2016 Emergency Appeal-Europe Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2016,8050000
Inland Freight Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Disbursements,2005,8034600
Inland Freight Cost of USAID Title II Food Aid for Drought Affected,Southern Africa Region,U.S. Agency for International Development,Emergency Response,Public Law 480 Title II Grants,Obligations,2005,8034600
West Africa Biodiversity and Climate Change (WA-BiCC),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2017,8000265
Second Tranche Contribution To International Committee of the Red Cross (ICRC)'s 2013 Emergency Appeal for Europeope Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2013,8000000
